"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevance","Abstract"
"The gender gap of returns on education across West European countries","https://scispace.com/paper/the-gender-gap-of-returns-on-education-across-west-european-z8dfcox6as","2014","Journal Article","International Journal of Manpower","Concetta Mendolicchio
Thomas Rhein","10.1108/IJM-02-2013-0026","https://scispace.com/pdf/the-gender-gap-of-returns-on-education-across-west-european-z8dfcox6as.pdf","- **Relevance Score:** 7/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Analyzes gendered returns on education (human capital) across West Europe, offering policy insights, but lacks Institutional Throughput or Systems Theory integration, public‑sector focus, and modeling.","Purpose – The purpose of this paper is to study the gender specific private returns on education (RE) in Europe in a comparative perspective. The authors extend the model of de la Fuente (2003) by estimating the parameters by gender and introducing maternity leaves and benefits. The paper analyses the impact of the public policy variables evaluating the elasticities with respect to unemployment benefits, marginal and average tax rates, maternity leave and childcare benefits. Design/methodology/approach – The authors estimate the Mincerian coefficients, with the Heckman’ selection model, for 12 West European countries using the EU-SILC data. The authors then use them as input to calibrate the decision model. Findings – The RE of females tend to be higher than those of males in all the Europeans countries but Germany, the Netherlands and Sweden. The gender gap can be explained mainly by the wage premia and labour income taxes which more than compensate the negative effects on females’ returns triggered by h..."
"Research and Planning for Higher Education.","https://scispace.com/paper/research-and-planning-for-higher-education-4i0tatfxra","1978","","","Robert H. Fenske
Paul J. Staskey","","https://scispace.com/pdf/research-and-planning-for-higher-education-4i0tatfxra.pdf","- **Relevance Score:** 7/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses human capital theory to discuss education's economic impact; lacks Institutional Throughput, Systems Theory, public‑sector focus, and empirical modeling.",""
"Institutional Theory: Problems and Prospects","https://scispace.com/paper/institutional-theory-problems-and-prospects-4ulilgtc0b","2000","","","B. Guy Peters","","https://scispace.com/pdf/institutional-theory-problems-and-prospects-4ulilgtc0b.pdf","- **Relevance Score:** 7/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses systems theory to explain institutionalization, but lacks throughput theory, human‑capital focus, efficiency analysis, or empirical case work.","Institutional theory in political science has made great advances in recent years, but also has a number of significant theoretical and methodological problems. The most important of these problems is the generally static nature of institutional explanations. Also, there is a nagging problem of the difficulties in measuring institutional variables in other than simplistic, nominal categories. As well as discussing these problems this paper addresses the static nature of institutional theory by examining the concept of ""institutionalization"", and the creation (and tearing down) of institutional structures. The paper argues that by considering institutionalization as a continuous variable rather than a nominal variable we can beginto understand better the dynamics of institutions themselves, and therefore also develop better institutional explanations for other social and political phenomena.;"
"Integrating Performance Management into the Policy Process via Institutional Analysis Framework","https://scispace.com/paper/integrating-performance-management-into-the-policy-process-4626tg0ig8","2017","Book Chapter","","Shlomo Mizrahi","10.1007/978-3-319-52350-7_6","","- **Relevance Score:** 6/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses institutional analysis to map policy feedback and lock‑in effects, suggesting change strategies; offers concrete recommendations but lacks throughput, systems, human‑capital, efficiency, empirical or modeling components.","This chapter develops an integrative framework for analyzing the ways in which specific performance management systems are decided and implemented. We integrate the various streams of new institutionalism and the explanations of public sector reforms. The framework helps explain processes of change and suggests strategies for overcoming barriers in the stages of policy making and implementation. The framework consists of a four-step analysis that identifies the negative policy feedback, determines the strength of the lock-in effect, explains the evolution of transformative entrepreneurs and their ideational motivations, and analyzes the strategies of change using the typologies in the literature as well as the micro-level decision-making models of rational choice institutionalism."
"Impacts of International","https://scispace.com/paper/impacts-of-international-4y0hmh3t59","1995","","","A Steve
Oak Brook
Descriptors Adult
Bryony A. Thompson
D. Knutson
Benny L. Lockett
E. Tomlin
D. Hamilton
Michael D. Woods
Warren L. Trock
A. Weber
R. Harvey
C. Pulver
L. Gardner","","https://scispace.com/pdf/impacts-of-international-4y0hmh3t59.pdf","- **Relevance Score:** 5/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses discussion of family, community, and social capital to explain student outcomes; touches on human capital concepts but lacks Institutional Throughput, Systems Theory, efficiency analysis, or empirical modeling.",""
"Conflicting theories of social and educational change : a typological review","https://scispace.com/paper/conflicting-theories-of-social-and-educational-change-a-51q1t0nlwc","1976","Book","","Rolland G. Paulston","","https://scispace.com/pdf/conflicting-theories-of-social-and-educational-change-a-51q1t0nlwc.pdf","- **Relevance Score:** 5/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses systems theory critique to discuss educational change, but lacks Institutional Throughput Theory, human‑capital focus, public‑sector efficiency, or policy‑implementation analysis; no empirical case or modeling.",""
"The polity of implementation: Organizational and institutional arrangements in policy implementation","https://scispace.com/paper/the-polity-of-implementation-organizational-and-1j56uw1l","2022","Journal Article","Governance","Fritz Sager
Anat Gofen","10.1111/gove.12677","https://scispace.com/pdf/the-polity-of-implementation-organizational-and-1j56uw1l.pdf","- **Relevance Score:** 2/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Discusses implementation arrangements and barriers, but lacks Institutional Throughput Theory, Systems Theory, human‑capital focus, efficiency metrics, empirical case, modeling, or policy recommendations.","Policy implementation is a formative stage of the policy process. It determines policy's form and effect while also lying at the intersection of politics, policy, and the public. Policy implementation takes place within a given institutional setting and requires specific structure and organization to conduct it both of which allocate decision power and mint specific roles in the implementation process. Nevertheless, current implementation literature tends to overlook implementation arrangements as structures influencing, and influenced by, power. This special issue draws on various aspects of implementation arrangements to demonstrate the significant, yet underexplored, polity of implementation. To do so, this introduction begins by reviewing the conceptual frameworks available in the current implementation scholarship. This is followed by a discussion of the special issue's seven contributions. Finally, the conclusion proposes recommendations for conducting future research on the polity of implementation. "
"From Idea to Action Notes for a Contingency Theory of the Policy Implementation Process","https://scispace.com/paper/from-idea-to-action-notes-for-a-contingency-theory-of-the-2o89y7po03","1985","Journal Article","Administration & Society","Ernest R. Alexander","10.1177/009539978501600402","","- **Relevance Score:** 2/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Uses contingency theory to discuss diverse implementation models and barriers, but lacks Institutional Throughput, Systems Theory, human‑capital or efficiency focus.","Implementation studies appearing since 1973 show a disappointing lack of convergence that may be due to different, often implicit, conceptualizations of implementation. They range from ""classical"" linear models linking policy or statute with execution to ""circular, "" ""adaptive, "" or ""evolutionary"" concepts that envisage a more dynamic interaction between the making and implementation of policy. It is suggested that the wide range of possible situations calls for a contingent theory linking policy to implementation. Such a theory demands a conceptual model that is abstract enough to accommodate diversity and to recognize that failure to implement policies or programs is not an aberration. A model is presented that meets these specifications: the Policy-Program-Implementation Process (PPIP) model, which can serve as a conceptual framework for developing contingent theories of policy implementation in the future."
"Mot en ny vuxenutbildningspolitik? : Regional utveckling som policy och praktik","https://scispace.com/paper/mot-en-ny-vuxenutbildningspolitik-regional-utveckling-som-2t7jopgjbu","2007","","","Erik Jakobsson","","https://scispace.com/pdf/mot-en-ny-vuxenutbildningspolitik-regional-utveckling-som-2t7jopgjbu.pdf","- **Relevance Score:** 2/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Discusses implementation barriers in regional policy, but lacks Institutional Throughput or Systems Theory integration, human‑capital focus, efficiency analysis, and empirical modeling.","Avhandlingen beskriver och analyserar ett regionalt utvecklingsinitiativ i natverksform, genom vilket de kommunala larcentrumen i Orebro lan samverkar for att utveckla en gemensam infrastruktur for ..."
"Sobre implementação de políticas públicas: uma revisão sistemática da literatura e agenda de pesquisas","https://scispace.com/paper/sobre-implementacao-de-politicas-publicas-uma-revisao-1mldl8ob","2022","Journal Article","Sociedade E Estado","Jéssica Celestino Ferreira Sousa
Leonardo Ferreira Batista
Diogo Henrique Helal","10.1590/s0102-6992-202237020004","https://scispace.com/pdf/sobre-implementacao-de-politicas-publicas-uma-revisao-1mldl8ob.pdf","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Provides a systematic literature review of policy implementation topics; does not discuss Institutional Throughput Theory, Systems Theory, human‑capital conversion, efficiency metrics, empirical cases, modeling, or specific policy recommendations.","Resumo Estudos sobre implementação de políticas públicas têm buscado melhores formas de compreender as falhas e a própria realidade desse processo. A partir de uma revisão sistemática da literatura, que contou com análise bibliométrica, este artigo aponta a historiografia e as frentes de pesquisa sobre a temática e analisa a autoria e as redes de cocitação de autores. Posteriormente, uma metanálise das publicações que compõem o portfólio teórico final (construído por meio do ano de publicação, número de citações e fator de impacto dos periódicos) apresenta as perspectivas e os modelos teóricos prevalentes, os resultados empíricos e as lacunas de cada trabalho. Resultados apontam que temas como governança, desenvolvimento sustentável, e-government, street-level bureaucracy (burocracia de nível de rua), políticas de saúde e descentralização dos processos da administração pública trazem um cenário de pesquisas relevantes para teorizações e aplicações empíricas das discussões do campo. Por fim, apresenta-se uma agenda de pesquisa futura."
"Teoria Institucional: uma contribuição para a gestão pública do desenvolvimento","https://scispace.com/paper/teoria-institucional-uma-contribuicao-para-a-gestao-publica-d5ow9bue05","2021","Journal Article","","Fabrini Quadros Borges
Fabricio Quadros Borges","10.32813/2179-1120.2021.V14.N1.A759","https://scispace.com/pdf/teoria-institucional-uma-contribuicao-para-a-gestao-publica-d5ow9bue05.pdf","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Focuses on general institutional theory for public‑sector development; lacks integration with Institutional Throughput or Systems Theory, human‑capital analysis, efficiency metrics, or empirical modeling.","The research aims to analyze the contribution of institutional theory to the understanding of the relationship between public management and development. The environments of planning and control in public management are part of a wide and relevant worldwide debate for the construction of mechanisms capable of regionally improving management capacity in favor of promoting the well-being of populations. The investigation comprises a theoretical study, exploratory, bibliographic and documentary in nature. The study concluded that the contribution of institutional theory to public management of development lies basically in providing elements of understanding about the structure and functioning of organizations according to the rules, procedures and values ​​that characterize a given reality. The discussion structure of this Theory brings as perspective, that the organizations need legitimacy of the interested parties and for that they adopt tangible elements like the structure and the processes to correspond to a set of norms and intangible values ​​in the institutional environment."
"Institutional theory and human resource management","https://scispace.com/paper/institutional-theory-and-human-resource-management-27s2ncdkbv","2014","","","Ali Najeeb","","https://scispace.com/pdf/institutional-theory-and-human-resource-management-27s2ncdkbv.pdf","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Focuses on general institutional theory and HRM without addressing throughput, systems integration, public‑sector efficiency, or empirical case work.","The study of institutions traverses the academic fields of economics, sociology, political science and organisational theory. The common denominator for institutionalism in various disciplines appears to be that of, 'institutions matter' (Kaufman 2011). An underlying assumption in the study of institutions is that organisations are deeply embedded in the wider institutional context (Powell 1988; DiMaggio & Powell 1991). Thus, ""organisational practices are either a direct reflection of, or response to, rules and structures built into their larger environment"" (Paauwe & Boselie 2003, p. 59).This institutional environment is the source of legitimisation, rewards or incentives for, as well as constraints or sanctions on, organisational activities (Meyer & Rowan 1977). The relevance of institutional theory to Human Resource Management (HRM) was initially derived from this view (Rosenzweig & Nohria 1994)."
"Institutions, institutional theory and policy design","https://scispace.com/paper/institutions-institutional-theory-and-policy-design-2bw26sjq","2022","Book Chapter","","Maria Mazzuca","10.4337/9781839106606.00011","","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Focuses on institutional theory and policy design without addressing Institutional Throughput Theory, systems lenses, human‑capital conversion, efficiency metrics, or implementation barriers; lacks empirical case, modeling, or policy recommendations.","Designing public policy may be done by individuals, but it can also be done by institutions. The designs made by institutions, given the very nature of institutions, tend to be more predictable than those of individual. This is especially true for large, bureaucratic institutions in the public sector. But institutions need not be so lacking in imagination and innovation, and some are capable of producing highly original solutions for policy problems. This chapter explores the relationships between institutions and designing through several lenses. One is the lens of institutional theory, with the various approaches to institutions each having something different to say about how the designing process will occur, and what the likely outcomes may be. We must also understand that institutions do not function alone, but are embedded in fields of institutions and other actors, and the interactions involved also influence the designs that are produced. Further, the institutions involved in designing public policies are not themselves all alike. Some may be bureaucracies and others may be loosely coupled networks. Some may be newly created design labs, while others are established bureaucracies or think tanks. The various features of institutions all have some impact on designs, and in turn may be influenced by the designs that are produced. "
"Saving Mangrove Forest Extinction in Urban Areas: Will Government Interventions Help?","https://scispace.com/paper/saving-mangrove-forest-extinction-in-urban-areas-will-2j74waja","2022","Journal Article","International Journal of Sustainable Development and Planning","","10.18280/ijsdp.170203","https://scispace.com/pdf/saving-mangrove-forest-extinction-in-urban-areas-will-2j74waja.pdf","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Focuses on mangrove policy governance; lacks Institutional Throughput Theory, Systems Theory, human‑capital or efficiency analysis, and provides no empirical modeling or recommendations.","."
"E-government adoption in public administration organizations: integrating institutional theory perspective and resource-based view","https://scispace.com/paper/e-government-adoption-in-public-administration-organizations-2koz87akmv","2013","Journal Article","European Journal of Information Systems","Daqing Zheng
Jin Chen
Lihua Huang
Cheng Zhang","10.1057/EJIS.2012.28","https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=2229093","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Focuses on e‑government adoption using institutional theory and RBV; lacks Institutional Throughput Theory, Systems Theory, human‑capital conversion, efficiency analysis, and friction discussion.","We develop and test a theoretical model to investigate the adoption of government-to-government (G2G) information systems in public administration organizations Specifically, this model explains h"
"Organizational Managers Strategies Increasing Human Capital Efficiency An Exploratory Case Study","https://scispace.com/paper/7WMgUcrZWn8J","","","","A Abdou","","","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Paper lacks Institutional Throughput or Systems Theory integration, focuses on start‑ups/education, not public‑sector efficiency or policy friction, and provides no modeling or recommendations.",""
"The Public Sector: Concepts, Models and Approaches","https://scispace.com/paper/the-public-sector-concepts-models-and-approaches-3w0w7lnzin","1993","Book","","Jan-Erik Lane","","","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Book surveys public‑sector concepts, bureaucracy, and management models without addressing Institutional Throughput Theory, Systems Theory, human‑capital conversion, efficiency metrics, or empirical modelling.","Introduction Public Institutions and Interests Demarcation of the Public Sector Concepts of Bureaucracy Public Policy Models Implementation Models Models of Public Regulation The Logic of Public Sector Reform Public Management, Leadership and Privatization The Management State versus the Administrative State The Public Choice Approach The New Institutionalism Efficiency, Effectiveness and Evaluation Institutions and Efficiency in the Public Sector Ethics and Normative Policy Models New Public Management The Basic Ideas Conclusion What Are the Policy Sciences?"
"Government's role for transport infrastructure: theoretical approaches and historical development","https://scispace.com/paper/government-s-role-for-transport-infrastructure-theoretical-28x7js22dq","2013","","","Björn Hasselgren","","https://scispace.com/pdf/government-s-role-for-transport-infrastructure-theoretical-28x7js22dq.pdf","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Focuses on institutional and transaction‑cost theory for transport infrastructure, lacking Institutional Throughput Theory, Systems Theory, human‑capital or efficiency analysis, and no empirical or modeling components.","This thesis analyzes and discusses the development of the Swedish government’s role as owner and financier of roads and railroads from the 1930s until the 2010s. The influence on the development of ..."
"An institutional perspective on performance measurement and management in the 'new public sector'","https://scispace.com/paper/an-institutional-perspective-on-performance-measurement-and-3f46wrj4om","2000","Journal Article","Management Accounting Research","Stan Brignall
Sven Modell","10.1006/MARE.2000.0136","https://courses.edx.org/assets/courseware/v1/8997445dfb524f2603f8e86d1fa582b6/asset-v1:DelftX+SaSC01x+2T2022+type@asset+block/1-s2.0-S1044500500901367-main.pdf","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Focuses on institutional theory for performance measurement, lacking explicit integration of Institutional Throughput and Systems Theory, human‑capital conversion, efficiency analysis, or policy‑implementation barriers.",""
"Direct and Moderating Effects of Organizational Factors on System USAge in Colleges: a Resource-based Perspective","https://scispace.com/paper/direct-and-moderating-effects-of-organizational-factors-on-1wgysvvlbs","2018","Journal Article","","Faridiah Aghadiati Fajri
Nurisqi Amalia","10.20885/JAAI.VOL22.ISS1.ART4","https://scispace.com/pdf/direct-and-moderating-effects-of-organizational-factors-on-1wgysvvlbs.pdf","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Focuses on organizational factors and system usage in colleges without addressing Institutional Throughput Theory, Systems Theory, human‑capital conversion, or public‑sector efficiency; lacks case study, modeling, or policy analysis.","Colleges as a non-profit organization engaged in the educational sector have a crucial role, especially in emerging countries. Significant improvement can be achieved by continuously strengthening the information system infrastructure. Prior studies mentioned the system implementation is tricky because it involves not only hardware and software but also users and operational procedures. The investment of information system poses challenges for management. The system failure can be the grave of an organization. Therefore, the end-users participation becomes acute that puts organizational factors have to be considered. This study aims to examine and analyze the information system success model by adding the existence of facilitating condition, institutional pressure, and incentives as organizational factors. Data were obtained through questionnaires filled by the users of colleges’ system. The results found that two constructs of organizational factors including facilitating condition and institutional pressure were able to increase the role of system usage to organization performance. Managers have to be proactive to motivate the end-users by designing better organizational factors and the future study may improve the construction of these factors."
"Public administration of economic development in the context of the institutional theory","https://scispace.com/paper/public-administration-of-economic-development-in-the-context-328q2sbr6s","2018","Journal Article","Baltic Journal of Economic Studies","Valentina Dudchenko
Konstantin Vitman","10.30525/2256-0742/2018-4-1-139-147","","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Focuses on institutional theory for economic development in Ukraine, lacking Institutional Throughput Theory, Systems Theory, human‑capital conversion, efficiency metrics, or empirical modeling.","One of the priorities of socio-economic reform in Ukraine is the modernization of the structure of the national economy and its growth. An effective structure of the economy, which will correspond to a socially oriented model of economic growth and will be based on the use of both the country’s competitive advantages in the global division of labour and the economic benefits of cooperation, will guarantee the independence of any country and will be the key to its dynamic development. The development of economic theory is due to the emergence of fundamentally new ideas, sustainable accumulation of knowledge, intellectual and meaningful updating of established concepts and theories, the formation of new scientific schools. A new paradigm of economic theory should explain the real processes in real economies, which operate on the principles of complex systems of synergistic nature and the theory of nonlinear dynamics. There is a process of theoretical polystructuredness both of mainstream and heterodoxy. An important task is to form an interdisciplinary dialogue between economists and scientists, which stipulates the relevance of the research topic. The subject of the study is the theoretical and methodological foundations and approaches to state management of economic development in the context of the institutional theory. The purpose of the study is to determine the role and influence of public administration of the development of the economy in the context of institutional theory and to develop strategic goals of the state’s innovation policy. Methodology. Directions of correlation of the system of economic development of the country and the potential of the state development with the historical preconditions for the emergence and development of the institutional doctrine of economic theory are investigated. Based on the revealed interrelations, the necessity of using instruments of institutionalism for studying the economic development system is substantiated. The state, in all available ways, should encourage economic actors to develop and implement innovations, thereby creating favourable conditions for innovative and technological development of production, saturation of the domestic market with highly competitive goods and services, which, in turn, will strengthen export potential, fill the budgets of all levels, increase incomes of business entities, reduce unemployment and improve working conditions, increase social security of the population, and also strengthen the positive image of public administration and local self-government bodies. That is, the socio-economic development of the country depends directly on the innovation-technological potential and on the efficiency of public administration in its development at all levels of the economy. Conclusions. The author generalizes the theoretical and methodological foundations of the country’s development in the context of the institutional theory: the system of economic development of the state has a set of direct and indirect links with the historical background of the emergence and development of an institutional doctrine of economic theory; the revealed directions of correlation contribute to the formation of a scientific and methodological basis for further study of economic development and economic potential of a country (state) in the context of the institutional doctrine of economic theory in its relation to the public administration theory; the economic development of a country (state) depends on the institutional environment, in which it operates, and is both an object of its influence and a subject that determines its transformation. The author investigates the theoretical principles of state regulation of innovative and technological development of the country’s economy. The existing strategies and programs of innovative development and innovation activity in Ukraine are explored. The state of innovation and technology of the national economy and the potential of key sectors of the economy in terms of innovative development are analysed."
"Evaluating the institutional factors affecting e-government implementation","https://scispace.com/paper/evaluating-the-institutional-factors-affecting-e-government-44hiz6pl0t","2011","Dissertation","","Moaman Mohamed Al-Busaidy","","https://scispace.com/pdf/evaluating-the-institutional-factors-affecting-e-government-44hiz6pl0t.pdf","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Focuses on institutional theory for e‑government without addressing Institutional Throughput Theory, Systems Theory, human‑capital conversion, efficiency metrics, or policy friction; lacks empirical case, modeling, or recommendations.",""
"Corporate Strategy, Governance Structure and Organization Performance: A Research Agenda","https://scispace.com/paper/corporate-strategy-governance-structure-and-organization-300o6loxv2","2018","Journal Article","Business and Management Research","Fatuma B. Omar
James M. Kilika","10.5430/BMR.V7N2P49","https://scispace.com/pdf/corporate-strategy-governance-structure-and-organization-300o6loxv2.pdf","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Focuses on corporate strategy, governance, and institutional theory in private firms; lacks Institutional Throughput Theory, systems lens, public‑sector context, and empirical case work.","Corporate strategy plays a critical role in the proper functioning of an organization as it provides the blueprint that guides the corporate direction of an organization while governance structure presents an organization with a framework for the distribution of responsibilities and resources to achieve organization performance. While the constructs have been sufficiently studied and documented in various studies separately in relation to organization performance, few studies have been undertaken to study the two constructs together to understand how they jointly explain organization performance. This paper presents a review of the extant theoretical and empirical literature on the two constructs in relation to organization performance. Relevant underpinning theories are reviewed, constructs described and their operational indicators identified and compared with empirical work and emergent knowledge gaps identified. The paper finally proposes a multidisciplinary based theoretical model suitable to address the gaps identified to advance knowledge in the area and calls upon future research to empirically test the propositions of the study."
"Exploring strategic leadership challenges in achieving an ICT enabled transformational government","https://scispace.com/paper/exploring-strategic-leadership-challenges-in-achieving-an-19b6kxfilz","2011","Dissertation","","Marwan Elnaghi","","https://scispace.com/pdf/exploring-strategic-leadership-challenges-in-achieving-an-19b6kxfilz.pdf","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Focuses on Institutional Theory applied to ICT adoption in government, lacking Institutional Throughput Theory, Systems Theory, human‑capital or efficiency analysis, and provides no empirical case, modeling, or policy guidance.","Acknowledgement, and Table of contents Marwan Elnaghi II Abstract This empirical research focuses on exploring the role of strategic leadership in the shift from Electronic Government (eGovernment) to Transformational Government (tGovernment). Despite the fact that many countries have implemented eGovernment, the literature reports a number of themhave failed to reach the promised seamless transformation. Moreover, there is a dearth of research into the domain of tGovernment; the research which exists is limited in extent thus leaving scope for timely and novel research contributions. This thesis reveals that a valuable contribution to knowledge could be derived from exploring the domain of transformational government. The leadership motivationand incentives to conduct a radical government organisational change have become an area of great importance. There is limited research on the strategic role of leadership in achieving transformational government domain; hence, the implications of seamless integration for transformational government have yet to be explored. This research discusses transformational government by using a qualitative, multiple case study research strategy. Data is triangulated and analysed according to its explanatory properties and underlying structural context. This researchextends established norms in literature for tGovernment implementation by incorporating established theories in organisational change from other related disciplines. This is to explain the significance of the underlying philosophical nature of the emerging themes, thus enabling government leaders to create robust strategic proposals for tGovernment. This empirical research is conducted in a Middle Eastern cultural context based in Dubai, United Arab Emirates. The research arrives at several key findings and themesthat contribute to the body of knowledge. A primary finding is the need for a radical change and an innovative managerial approach in using ICT to enable radical change in government organisations. A related finding of this research is that many assumptions underlying the various tGovernment models for transformation fall short to empirically explain the transformational government domain.The government visionary leadership has been proven to be a powerful driver for change in terms of initiating and leading the process for transformational government. A Abstract, Acknowledgement, and Table of contents Acknowledgement, and Table of contents Marwan Elnaghi III Acknowledgement I would like to express my sincere gratitude and thanks to all those who have offered help, and advice over those years of enduring doctoral research. It is recognised that research activity is a collaborative effort in nature; and the research presented in this thesis is no exception. The support of a number of individuals and organisations is gratefully acknowledged. I would like to express my gratitude to my supervisors Dr. Sarmad Al-Shawi and Professor Zahir Irani for their enthusiastic support, advice, patience and constant energy for ideas’ sharing throughout the research effort. Their influence is inherited in both the theoretical and practical aspects of this work. I would like to thank Dr. Vishanth Weerakoddy, Dr Muhammad Kamal, Professor Ibrahim Osman, Dr. Farouk Missi, and Professor E.H. Twizellfor their constant encouragement, guidance and support. My additional big thanks also go to Professor Irani rectifying me throughout my doctoral studies and offering me a part-time lecturer position at Brunel Business School. I owe special thanks to my father (Mustapha Elnaghi) who managed to help me to get to the stage due to his struggle and hard work throughout his life, as a motor mechanic, and supporting his children for the best education, and for this I am proud of him. I also extend my great debt to H.E. Mr. Moustafa Durnaika Chairman of SOGEX Services International Ltd for his benevolent support to come to the United Kingdom to pursue my further education. I again owe big special thanks to my wife Fatima for her immense support (morally, emotionally, intellectually, and financially!) all the way through my doctoral studies and my beautiful daughters Sarah and RayenNaghiand my son Mustapha. Last but not the least, in terms of exchange of ideas, support, criticisms and intellectual stimulation, thanks is offered to all my fellow members of academic staff at the Brunel Business School. I also acknowledge, with great thanks, the case government organisations of Dubai Government namely: (Dubai Municipality, Dubai Police, and Dubai Naturalisation & Residency Department) and their staff, who contributed to the empirical side of this work with their transparent openness, for their welcoming generosity with time, support and professionalism. A Abstract, Acknowledgement, and Table of contents Acknowledgement, and Table of contents Marwan Elnaghi IV Declaration I declare that, to the best of my knowledge, no portion of the study referred to in this thesis hasbeen submitted in support of an application for another degree, or qualification, to any other university, or institution of academic learning. The thesis conforms to the British Standard BS 4821: 1990, the `British Standard Recommendation for the Presentations of the Thesis and Dissertations', and follows theHarvard referencing system."
"Теорія організації в публічному секторі","https://scispace.com/paper/teoriia-organizatsiyi-v-publichnomu-sektori-29jz0nva","2022","Journal Article","Актуальні питання у сучасній науці","І. М. Васькович","10.52058/2786-6300-2022-3(3)-12-22","https://scispace.com/pdf/teoriia-organizatsiyi-v-publichnomu-sektori-29jz0nva.pdf","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Focuses on general organization theory in the public sector; lacks Institutional Throughput Theory, Systems Theory, human‑capital or efficiency analysis, and provides no empirical case, modeling, or policy guidance.",""
"Why Institutions Matter: Analysis of Their Significance in Shaping Economic, Environmental, And Policy Transformation","https://scispace.com/paper/why-institutions-matter-analysis-of-their-significance-in-4svmiktslc","2024","Journal Article","Journal of Social and Policy Issues","Kwadwo Yeboah Botah","10.58835/jspi.v4i2.246","","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Provides a broad systematic review of institutional importance for economic, environmental, and policy outcomes, without focusing on Institutional Throughput Theory, systems analysis, human‑capital conversion, public‑sector efficiency, or empirical case work.","The role of institutions in shaping societal systems and responding to complex global challenges has gained increased attention in recent decades. Institutions have functioned to shape the development and sustainability of society. Nevertheless, numerous institutionally-led challenges that restrict and alter sustainability and development across various aspects of society have also emerged. While institutional importance is widespread, their relationship with development is debated and contested. Through a systematic review approach, this paper explores the concept of institutions to understand whether they matter for development and examine their relevance within economic, policy, and environmental structures. The study indicates that indeed institutions play a significant role in accelerating economic, policy, and environmental growth across space and time. It demonstrates how it drives policy cycles, fosters economic progress, and shapes environmental transition. The study reveals that institutions create order, facilitate innovation, drive market transactions, and environmental security by mitigating conflicts, enforcing regulations, enhancing cooperation, ensuring the distribution of resources, and promoting sustainable ecological guidelines. However, complexities in their functions, structures, and adaptation exist, which can stimulate instabilities, stagnation, and decline in societal progression. Achieving enhanced institutional capacity toward societal development and progress thus requires unwavering political commitment, innovative actions, and coordinated decision-making. "
"Literature Review Article: Institutions and Economic Development","https://scispace.com/paper/literature-review-article-institutions-and-economic-1irx7samme","2019","Book","","Jakob de Haan","10.4337/9781788118859","https://scispace.com/pdf/literature-review-article-institutions-and-economic-1irx7samme.pdf","- **Relevance Score:** 0/100
- **Relevance Tag:** Not Relevant
- **Reasoning:** Focuses on macro‑economic institutional effects, trade openness, and financial development; lacks Institutional Throughput Theory, Systems Theory, public‑sector focus, or empirical case work.",""
