"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Relevance","Abstract"
"The Impact of Human Capital and Innovation Determinants on Economic Growth: Evidence from Georgia","https://scispace.com/paper/the-impact-of-human-capital-and-innovation-determinants-on-1zunc51p","2022","Journal Article","","Lia Totladze
Mamuka Khuskivadze","10.56734/ijbms.v3n9a4","https://scispace.com/pdf/the-impact-of-human-capital-and-innovation-determinants-on-1zunc51p.pdf","- **Relevance Score:** 42/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses OECD definition to frame theory; lists education, patents, R&D as measurement proxies; analyzes education spending and innovation for Georgia's growth; offers policy suggestions for government investment; lacks focus on military, prisoners, or comparative groups.","The hyper-competitive global economy of the twenty-first century has become an era of innovation, technology, productivity, new knowledge, and skills, focused on sustainable and inclusive growth. Human capital is one of the fundamental factors for ensuring sustainable and inclusive growth. The process of human capital formation is long and is influenced by many factors. Its measurement is one of the actual issues. The negative effects caused by the pandemic were added to the humanitarian, economic, logistical, and other types of problems caused by the Russia-Ukraine war, which took on a global character and affected all countries of the world with more or less severity. This study aims at providing a theoretical concept of human capital measurement and innovation activity indicators. The paper studies the role of human capital and innovation activity for a country’s development based on the experience of Georgia. For this purpose, multiply regression models have been built and evaluate. The empirical results based on models and coefficient’s significance suggests causality between human capital, innovation activity and the economic growth of Georgia: Contribution of human capital and innovation activity to economic growth is essential."
"A critical approach to human resources practices and training in intellectual capital accumulation","https://scispace.com/paper/a-critical-approach-to-human-resources-practices-and-4g97sdya0k","2019","Journal Article","","Selman Duran
Merve Korkmaz","10.36096/IJBES.V1I1.102","https://scispace.com/pdf/a-critical-approach-to-human-resources-practices-and-4g97sdya0k.pdf","- **Relevance Score:** 42/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Defines human capital and links training to intellectual capital; discusses measurement loosely; focuses on organizational HR, not military/prisoners; offers policy insights; lacks specific case studies or comparative groups.","With the information age, businesses have accepted the importance of intangible resources rather than material resources and have produced new approaches in this field. In order to investigate the relationship between intellectual capital, one of these approaches, and human resources practices and education, a literature review has been conducted. This study demonstrated that there is a strong connection between them."
"Military expenditures and human capital development in sub-Saharan Africa: a system GMM approach","https://scispace.com/paper/military-expenditures-and-human-capital-development-in-sub-3694tyn9","2023","Journal Article","Development studies research","Issofou Njifen
Anna Anemann","10.1080/21665095.2022.2163678","https://www.tandfonline.com/doi/pdf/10.1080/21665095.2022.2163678","- **Relevance Score:** 42/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses system GMM on 44 SSA countries to show military spending's varied impact on education budgets, providing regional case studies and policy recommendations, but lacks explicit human capital theory definition, measurement methods, and historical overview.","This study investigates the military outlays effects on human capital development in sub-Saharan Africa. By using panel data covering 44 countries from 1995 to 2020, a system Generalized Method of Moments is adopted as the estimation technique of a dynamic panel model. Findings show that military outlays have a significant positive effect on education spending in sub-Saharan Africa. However, the sensitivity analysis reports a mitigated result, highlighting the diversity of evidence on the ‘guns better than butter’ literature. While military outlays positively affect education expenditures in central and southern African sub-regions, they crowd-out the public spending allocated to education development in Sahel & Lake Chad area, western and eastern sub-regions. These results, therefore, suggest that policy makers should promote the approach which considers defense as a component of socioeconomic development by regulating the perfect ratio of military spending that meets their needs. "
"The Relationship Between Training Program Participation and Gainful Civilian Employment of Gulf War-Era II Veterans","https://scispace.com/paper/the-relationship-between-training-program-participation-and-3q1vqitluq","2019","Journal Article","","Candace Rae Flatt
Delmar Rhodes","10.21061/JVS.V4I2.113","https://scispace.com/pdf/the-relationship-between-training-program-participation-and-3q1vqitluq.pdf","- **Relevance Score:** 42/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses veteran training data to test human‑capital returns, links pre‑employment programs to employment outcomes, offers policy recommendations, but lacks formal theory definition, measurement techniques, and historical or comparative context.","The GI Bill of Rights has helped millions of veterans with their transition into civilian employment through education and training programs. In addition to higher education benefits, the GI Bill provides educational assistance for vocational training, entrepreneurship courses, apprenticeships, on-the-job training, and remedial courses. Compared to previous studies, this study is unique in three aspects. First, this study focuses on training programs completed by veterans rather than higher education. Second, the training categories are constructed based on job-specific versus general properties of human capital theory. Finally, the study captures all training programs completed by veterans regardless of provider or sponsoring organization by using the National Longitudinal Survey of Youth 1997 (NLSY97) . Generalized linear mixed models are used to determine the relationship between the type of training program and gainful employment. Pre-employment training programs were found to be positively related to the gainful employment of Gulf War-Era II veterans."
"Skills and Human Capital in the Labor Market","https://scispace.com/paper/skills-and-human-capital-in-the-labor-market-xnqay567t2vu","2024","Repository","Social Science Research Network","David Deming
Mikko Silliman","10.2139/ssrn.4950559","","- **Relevance Score:** 41/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Provides a nuanced definition of human capital and critiques measurement, uses stylized models to illustrate concepts, but lacks specific target groups, detailed metrics, historical overview, policy guidance, or comparative analysis.","This paper synthesizes the economics literature on skills and human capital, with a particular focus on higher-order capacities like social and decision-making skills. We review the empirical evidence on returns to human capital from both a micro and macro perspective, as well as the evidence on returns to human capital investment over the life-cycle. We highlight two key limitations of human capital theory as currently implemented. First, prior work mostly assumes that human capital is one-dimensional and can be measured by education or test scores alone. Second, human capital is typically modeled as augmenting the marginal product of labor with workers being treated as factors of production, just like physical capital. We argue for a new approach that treats workers as agents who decide how to allocate their labor over job tasks. Traditional cognitive skills make workers more productive in any task, while higher-order skills govern workers’ choices of which tasks to perform and whether to work alone or in a team. We illustrate the value of this approach with stylized models that incorporate teamwork and decision-making skills and generate predictions about how returns to skills vary across contexts."
"The Concept of Human Capital, Its Evolution and Its Role in Economic Development","https://scispace.com/paper/the-concept-of-human-capital-its-evolution-and-its-role-in-4qvz5sqthlgl","2025","Journal Article","International Journal Of Management And Economics Fundamental","Tuychieva Khayothon Gapurzhanovna","10.37547/ijmef/volume05issue05-06","","- **Relevance Score:** 40/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Defines human capital clearly; lacks measurement methods and target‑group focus; mentions education investment broadly; provides historical overview and policy discussion; no case studies or comparative analysis.","The piece of writing follows the evolution of human capital as a marginal theory to a fundamental component of economic growth. Human capital is defined as people's skills, knowledge, and abilities that drive productivity and growth. By comparing past perceptions, the key theoretical notions, and contemporary applications, this study reveals the significance of human capital investment for economic development over the long term. The paper concludes with a consideration of the implications of investment in human capital for economic development strategy and policy. "
"Does providing inmates with education improve postrelease outcomes? A meta-analysis of correctional education programs in the United States","https://scispace.com/paper/does-providing-inmates-with-education-improve-postrelease-4jbemb0poz","2018","Journal Article","Journal of Experimental Criminology","Robert Bozick
Jennifer L. Steele
Lois M. Davis
Susan Turner","10.1007/S11292-018-9334-6","","- **Relevance Score:** 40/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses meta‑analysis of correctional education to show reduced recidivism, directly linking inmate education to human capital outcomes; lacks explicit theory definition, measurement methods, and broader historical or comparative context, but offers policy‑relevant insights.","Our study addresses the question: Does providing inmates with education while incarcerated reduce their chances of recidivism and improve their postrelease employment prospects? We aggregated 37 years of research (1980–2017) on correctional education and applied meta-analytic techniques. As the basis for our meta-analysis, we identified a total of 57 studies that used recidivism as an outcome and 21 studies that used employment as an outcome. We then applied random-effects regression across the effect sizes abstracted from each of these studies. When focusing on studies with the highest caliber research designs, we found that inmates participating in correctional education programs were 28% less likely to recidivate when compared with inmates who did not participate in correctional education programs. However, we found that inmates receiving correctional education were as likely to obtain postrelease employment as inmates not receiving correctional education. Our meta-analysis demonstrates the value in providing inmates with educational opportunities while they serve their sentences if the goal of the program is to reduce recidivism."
"The definition and measurement of human capital resources: A content and meta-analytic review.","https://scispace.com/paper/the-definition-and-measurement-of-human-capital-resources-a-1319jh4k","2023","Journal Article","Journal of Applied Psychology","Lin Zhang
Chad H. Van Iddekinge
Robert E. Ployhart
John D. Arnold
Samantha L. Jordan","10.1037/apl0001088","","- **Relevance Score:** 40/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Provides detailed definitions and measurement critiques of human capital resources, but lacks focus on specific populations, case studies, or education investment; offers limited historical context and general measurement guidance.","Although human capital resources (HCR) can be important for organizational performance, researchers have defined and measured HCR in various ways. Consequently, it is unclear whether existing measures provide valid inferences about HCR or their relations with other constructs. We conducted this three-study research to address these issues. In Study 1, we reviewed HCR definitions (k = 84) and found that most definitions focus on collective knowledge, skills, and abilities. Recent definitions also tend to include other characteristics (e.g., personality). In Study 2, a content analysis of HCR measures (k = 127) revealed that only 23.6% of the measures focused solely on HCR and they tended to assess only one or two dimensions of the construct (i.e., were deficient). Many measures (46.5%) assessed both HCR and other constructs (i.e., were partially contaminated), and other measures (29.9%) assessed only non-HCR constructs (i.e., were fully contaminated). In Study 3 (k = 94), we found that HCR measures that were less deficient demonstrated stronger criterion-related validity for predicting unit and firm performance. Interestingly, partially contaminated measures were somewhat more predictive than uncontaminated measures (ρ = .35 vs. .25, respectively), mainly because they assessed both HCR and other constructs that are related to performance. Both types of measures demonstrated stronger validity than fully contaminated measures. Overall, findings suggest that extant HCR measures often are deficient and/or contaminated. We discuss implications, as well as offer guidance for measuring HCR in future research. (PsycInfo Database Record (c) 2023 APA, all rights reserved)."
"Effect of entrepreneurial training for human resource management of prisoners: A framework","https://scispace.com/paper/effect-of-entrepreneurial-training-for-human-resource-3gix7r8xsx","2021","","","Zubaa Akhtar","10.5281/ZENODO.4764550","","- **Relevance Score:** 40/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses entrepreneurial training to boost prisoners' human capital; links education investment to outcomes; provides framework and limited case illustration; lacks theory definition, measurement methods, historical overview, and cross‑group comparison.","217 Copyright © 2021 International Journal of Criminal Justice Sciences (IJCJS) – Official Journal of the South Asian Society of Criminology and Victimology (SASCV) Publisher & Editor-in-Chief – K. Jaishankar ISSN: 0973-5089 January – June 2021. Vol. 16 (1): 217–235. DOI: 10.5281/zenodo. 4764550 / IJCJS is a Diamond Open Access (Authors / Readers No Pay Journal). Indexed in Scopus and Emerging Sources Citation Index (Web of Science)."
"Adult Offender Recidivism Rates: How Effective is Pre-Release and Vocational Education Programing and What Demographic Factors Contribute to an Offenders Return to Prison","https://scispace.com/paper/adult-offender-recidivism-rates-how-effective-is-pre-release-2agals99no","2014","","","Jr. James K Bueche","","https://scispace.com/pdf/adult-offender-recidivism-rates-how-effective-is-pre-release-2agals99no.pdf","- **Relevance Score:** 40/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses offender training ROI to illustrate human capital investment for prisoners; lacks formal theory definition or measurement methods; provides limited empirical detail and modest policy discussion.","The primary purpose of this study was to determine if the Louisiana Department of Public Safety and Corrections’ 100 hour pre-release program and vocational education had a significant impact on offender recidivism. Additionally, a model of predicating offender recidivism using demographic data was another aspect of the study. Offenders in the study were 404 offenders who completed the pre-release program, 404 offenders who completed vocational education and 808 offenders who composed the control group. All offenders were released from prison in the year of 2010, and if they returned to prison between their release and December 31, 2013, they were considered to have been a recidivist for the purpose of the study.


The effectiveness of the 100 hour pre-release and vocational education was conducted using SPSS with the chi-square test for program significance. Based on the test, neither program was found to have a significant impact on recidivism. However, when examining percentages of return to prison between the three groups, vocational education offenders performed the best and offenders who completed the 100 hour pre-release program had the highest percentage of offenders returning to prison.


The ability to develop a predictive model for recidivism utilizing select demographic factors was attempted using SPSS with the Binary Logistical Regression analysis. The demographic factors used were age, sex, race, marital status and education. A predictive model was unable to be established with this population. However, when looking at the population, being a male or a young offender was found to be predictors that were significantly tied with offender recidivism as individual characteristics.


Based on the body of research and the findings of the study, recommendations concerning the 100 hour pre-release program and vocational education suggest these programs need additional components of cognitive development training and community supports to show a greater impact on recidivism. Also, the creation of a reliable and valid risk model based on the total offender population is necessary. By implementing effective programs and having the correct offenders entering these programs, a reduction in recidivism may be more significant."
"Educated prisoners are less likely to return to prison","https://scispace.com/paper/educated-prisoners-are-less-likely-to-return-to-prison-11wrsqzmx7","2004","Journal Article","Journal of correctional education","James S. Vacca","","","- **Relevance Score:** 40/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses prison education programs to illustrate human capital benefits, links schooling to reduced recidivism, but lacks formal theory definition, measurement techniques, and broader comparative or historical context.","Since 1990, the literature has shown that prisoners who attend educational programs while they are incarcerated are less likely to return to prison following their release. Studies in several states have indicated that recidivism rates have declined where inmates have received an appropriate education. Furthermore, the right kind of educational program leads to less violence by inmates involved in the programs and a more positive prison environment. Effective Education Programs are those that help prisoners with their social skills, artistic development and techniques and strategies to help them deal with their emotions. In addition, these programs emphasize academic, vocational and social education. The inmates who participate in these programs do so because they see clear opportunities to improve their capabilities for employment after being released. Program success or failure is hampered, however, by the values and attitudes of those in the authority position, over crowded prison population conditions and inadequate funding for teaching personnel, supplies and materials. In addition, recent studies show that most inmates are males who have little or no employable skills. They are also frequently school dropouts who have difficulties with reading and writing skills and poor self-concepts and negative attitudes toward education. Literacy skills in learner-centered programs with meaningful contexts that recognize the different learning styles, cultural backgrounds and learning needs of inmates are important to program success and inmate participation. Inmates need education programs that not only teach them to read effectively but also provide them with the necessary reinforcement that promote a positive transition to society when they are released. Efforts in this direction would help stimulate better participation of inmates in all prison education programs and will go a long way to help the prisoner rehabilitation process. Prisoners who attend education programs while they are incarcerated are less likely to return to prison following their release. Since 1990, literature"
"Review article human capital: a review article*","https://scispace.com/paper/review-article-human-capital-a-review-article-3yz1u40ib6","2016","","","Svetozar Pejovich","","https://www.jstor.org/stable/29767824","- **Relevance Score:** 40/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Provides a solid definition and historical overview of human capital; mentions education's role in growth but lacks measurement detail, target‑group focus, case studies, policy guidance, or comparative analysis.","The importance of investment in human skill and knowledge has been recognized and acknowledged by economists ever since Adam Smith wrote: ""The work which (man) learns to perform . . . will replace to him the whole expense of his education, with at least the ordinary profits of any equally valuable capital."" Yet it was only in the 1950's that the economic profession turned its full attention to a more systematic analysis of the effects of investment in human capital on economic growth and welfare. A number of excellent studies have appeared dealing with various aspects of investment in man such as Mincer's analysis of the relationship between human capital and income distribution,1 Horvat's work on the optimum rate of investment,2 and Schultz's findings that human capabilities are limiting factors in economic growth of poor countries,3 while on the other hand, the con? tribution of education to economic growth in the U.S.A. since 1929 ex? ceeded that of physical capital.4 Slowly but persistently economists have become increasingly aware of the fact that a number of textbooks and economic models which con? sider labor as a unique, original and homogeneous factor are plain wrong; that, on the contrary, labor is a produced factor whose economic value arises primarily from investment in skill and knowledge. ""Much of modern macro-economic theory has been concerned with problems that are wrongly formulated, if not entirely spurious,"" remarked Harry Johnson, ""I refer especially to the theory of economic growth, where a great deal of effort has been devoted to exploring the difficulties of re? conciling the accumulation of capital with the growth of the labor force at a different, autonomously determined rate, and explaining the con? stancy of the share of labor which apparently results from the growth process.""5"
"Analysis of methods for human capital assessment at the micro level","https://scispace.com/paper/analysis-of-methods-for-human-capital-assessment-at-the-706bw0vja8","2013","","","Galina Krushnitska","","https://scispace.com/pdf/analysis-of-methods-for-human-capital-assessment-at-the-706bw0vja8.pdf","- **Relevance Score:** 40/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses cost‑based additive model to quantify human capital, offering a concrete firm‑level example; lacks formal theory definition, target‑group focus, and broader historical or policy context.","As it is widely known, one of the main problems of economic theory since its emergence as an independent scientific discipline was to evaluate the worker’s productive abilities. Human Capital Assessment Methodology was developed in the scientific literature of both foreign and domestic scholars. In particular, investment (costly) approach to assessing human capital is reflected in the scientific literature by H. Bekker, E. Enhel, J. Kendryk, J. Mintser, E. Flemholts, T. Shults, V. Allaverdyan, K. Chyhoryayev, V. Antonyuk, O. Hrishnova, O. Zaharova, Yu. Kaloshyna, M. Nikolaychuk and others. Assessment of human capital in terms of the ability to generate income incarnated in a man are considered in the works of T. Vitsteyn, L. Dublin, A. Lotka, L. Turow, V. Farr, I. Fisher, M. Fridmen, A. Yevstratov, V. Tsarov, V. Antonyuk, I. Zhuravlova, A. Kudlay, O. Russiyan and others. The numerical evaluation of variations in human capital shows that at this time there is no one that would really meet its real volume. This is due to, firstly, imperfect measurement technologies, mathematical models, difficulties of statistics and its accuracy. Secondly, for reliable assessment of human capital, it is necessary to take into account a number of operating factors, which are principally impossible to assess. Thirdly, it is difficult to predict the consequences of events caused by the combination of these factors. Thus, the purpose of the research is to study the reliability of methodological tools for quantitative assessment of human capital at the micro level."
"How Effective Is Correctional Education, and Where Do We Go from Here? The Results of a Comprehensive Evaluation","https://scispace.com/paper/how-effective-is-correctional-education-and-where-do-we-go-1urzoo3l6y","2014","Book","","Lois M. Davis
Jennifer L. Steele
Robert Bozick
Malcolm V. Williams
Susan Turner
Jeremy N. V. Miles
Jessica Saunders
Paul S. Steinberg","","https://scispace.com/pdf/how-effective-is-correctional-education-and-where-do-we-go-1urzoo3l6y.pdf","- **Relevance Score:** 40/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses correctional education to illustrate human capital for prisoners; discusses education as a capital driver and calls for better program documentation, but lacks formal theory definition, measurement methods, detailed case studies, historical overview, and cross‑group comparisons.","This report assesses the effectiveness of correctional education programs for both incarcerated adults and juveniles and the cost-effectiveness of adult correctional education. It also provides results of a survey of U.S. state correctional education directors that give an up-to-date picture of what correctional education looks like today. Finally, the authors offer recommendations for improving the field of correctional education moving forward."
"Investing in Human Capital as a Key Factor for the Development of Enterprises","https://scispace.com/paper/investing-in-human-capital-as-a-key-factor-for-the-4mny129lyp","2017","Book Chapter","","Josef Drábek
Silvia Lorincová
Jana Javorčíková","10.5772/67741","https://scispace.com/pdf/investing-in-human-capital-as-a-key-factor-for-the-4mny129lyp.pdf","- **Relevance Score:** 40/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses detailed HCROI, HEVA, etc., to measure corporate human capital. Provides a vague definition of human capital. Offers firm‑level case data, mentions training costs, but lacks target‑group focus, historical context, policy guidance, or comparative analysis.","Small and medium-sized enterprises (SMEs) are considered to be a driving force of the economy in the world. Among the most valuable features of SMEs is their flexibility, decision-making accessibility, implementation, innovation and high adaptability to the market environment. SMEs provide for acceleration and economic growth of the country and its regions. Investment in human capital in SMEs, (meaning investment into intangible assets of the company), it is one of the ways to support this sector. In the same manner as SMEs are considered to be a driving force of the economy, human resources can be seen as its driving force, the source of success, competitiveness and added value of businesses. Human capital is one of the most valuable components of any business and that is why investment in human resources becomes a necessary step ensuring that a business prospers in a changing market environment. Current trends also point to the growing importance of investment in human capital. The future will certainly belong to those companies which pay most attention to effective management of human resources, which, in terms of time factor is an important prerequisite for growth and competitiveness of a company."
"The theory of measuring human capital history and the present","https://scispace.com/paper/the-theory-of-measuring-human-capital-history-and-the-1v44ufr74f","2017","Journal Article","International Journal of Accounting and Economics Studies","Valentyn Sobeiko","10.14419/IJAES.V5I2.8587","https://scispace.com/pdf/the-theory-of-measuring-human-capital-history-and-the-1v44ufr74f.pdf","- **Relevance Score:** 39/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Provides a general definition and discusses cost‑based measurement indicators, but lacks focus on military, prisoners, or education‑investment case studies; offers limited historical and policy context.","The manuscript should contain an abstract. The abstract should be self-contained and citation-free and should not exceed 300 words. The abstract should state the purpose, approach, results and conclusions of the paper. The author should assume that the reader has some knowledge of the subject but has not read the paper. Thus, the abstract should be intelligible and complete in it-self (no numerical refer-ences); it should not cite figures, tables, or sections of the paper. The abstract should be written using third person instead of first person."
"An empirical analysis of human capital development and organizational performance in banking sector: a nigerian experience","https://scispace.com/paper/an-empirical-analysis-of-human-capital-development-and-1j41z0wv8e","2014","","","Olabisi Michael
Adewumi Zaid","","https://scispace.com/pdf/an-empirical-analysis-of-human-capital-development-and-1j41z0wv8e.pdf","- **Relevance Score:** 39/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Defines human capital theory and its history; lacks measurement methods and target‑population focus; offers banking case study and discusses training impacts; limited policy discussion; no comparative analysis.","The Nigerian financial economy has experienced a paradigm shift in the recent years due to ever-increasing development in information and communication technology. As such, human capital needs to be developed to ensure that the Nigerian financial sector has the best workforce, in terms of knowledge, skills, attitude, competence and ability, to be able to meet the challenges of dynamics in the economy. This paper studied the impact of human capital development on organizational performance in the Nigerian banking sector, with a particular reference to the State of Osun. Primary source of data was used, using questionnaire as a research instrument. A total of 351 copies of questionnaire were distributed to the branches of four selected banks spread across the State, using judgemental and simple random sampling techniques. Out of these, 302 copies were filled and returned, forming the basis of data analysis. It was found that significant relationship exists between human capital development and organizational performance in the banking industry. The paper recommends that efforts should be geared towards improving human capital development and that banks’ managements should embrace effective leadership style to enable the expenditure incurred on human capital development impact effectively on banks’ performance."
"Exploring the mediating effect of social capital on human capital in economic well-being: A micro-analysis of four countries","https://scispace.com/paper/exploring-the-mediating-effect-of-social-capital-on-human-2q9ygymh3q","2012","","","Shujie Li","","https://scispace.com/pdf/exploring-the-mediating-effect-of-social-capital-on-human-2q9ygymh3q.pdf","- **Relevance Score:** 39/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Provides a solid definition of human capital and uses years of education as a proxy; offers four‑country case analysis but lacks focus on military, prisoners, or education‑investment contexts and gives little policy or historical discussion.","While the importance of human capital and social capital have been widely recognized in a range of social phenomena, the mediating effect of social capital on human capital is only occasionally acknowledged. This study examines the role of social capital in the relationship between human capital and economic well-being. Both the additive effect and the interaction effect of social capital with human capital are considered to better depict its significance with a cross-cultural perspective.

Drawing on the International Social Survey Programme (ISSP 2001) on social networks and social support, the study focuses on four countries: two developed countries – the United States and Japan, and two developing ones – the Philippines and Brazil. The outcome variable of interest is individual economic well-being as measured by individual wages. Human capital is measured by formal schooling and work experience, and social capital by a diversity of social contacts (i.e., relatives and close friends) and social engagement in various groups or associations. Econometric models (e.g., OLS, Heckman Selection model, and SUR model) are used to test the roles of social capital in different contexts.

The empirical findings are mixed and heterogeneous. The significance of human capital remains for all the four countries, reaffirming the theory of human capital. However, different aspects of social capital (bonding, bridging and linking) tend to demonstrate different effects for different countries. In spite of the mixed results, social capital is not negligible in terms of its magnitude and significance, but rather deserves further specific study in depth to reveal the effect of each of the indicators. Furthermore, social capital is never meant to substitute but complement human capital either in positive or negative effects, as it is commonly observed in the real world that people utilize the social capital at their disposal from time to time out of habit. It may also be the case that people are asked for help by their network ties, bearing losses to a certain degree, to benefit the latter's economic well-being. In other words, certain types of social capital amplify human capital while others offset human capital in their effects on economic well-being, or compensate for lower levels of human capital.

There are two limitations of this study. First of all, the measurement of social capital needs to be further refined so as to cover not only the quantity of social network ties but also the quality of these ties, both of which matter in social contexts. Second, the cross-sectional data from the ISSP survey on social networks do not allow drawing causal inferences for social capital in the relationship between human capital and economic well-being. Even though the current research design considers the possible sample selection issues and uses both the Heckman selection model and the SUR model, it does not consider the potential endogeneity of social capital in the process of social and economic development. Further causal inferences would…"
"The Investment In Human Capital - More Than An Idea In Present And Future Realities","https://scispace.com/paper/the-investment-in-human-capital-more-than-an-idea-in-present-20yvihu74r","2014","Posted Content","Annals of Faculty of Economics","Buta Simona","","","- **Relevance Score:** 38/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Defines human capital broadly, focuses on education investment, notes government role, but lacks measurement methods, concrete cases, and comparative or historical depth.","The essence of the idea of human capital is of ""investment in people"" in order to improve their productivity. Education and health costs are generated in the hope of future benefits, hence the term ""human capital investment"". In general, the human capital is treated as an investment. Moreover, the investment is a continuous one, targeting either the development (training or continuous education courses, for example) or to maintain the capital stock (regular medical appointments, for example). Accepting numerous studies published in the last decades regarding the human capital, we will mention education as a main factor contributing to the training and development of individuals. The costs of education are investments in the human capital, investments that assure the accumulation and avoidance of its depreciation. In countries, there is a consensus, that parts of the level of government investment include also the need for investment in educational services, governments undoubtedly playing a central role in directing the formation and development of human capital. We need to invest in human capital, doubly so as that the investment in education is a profitable one, the rate of capitalization of the investment in education ranging from 5-30%, according to OECD statistics."
"Saudization and Skill Formation for Employment in the Private Sector","https://scispace.com/paper/saudization-and-skill-formation-for-employment-in-the-5f1semkvo3","2009","Dissertation","","Serhan Abdullah Al-Shammari","","https://scispace.com/pdf/saudization-and-skill-formation-for-employment-in-the-5f1semkvo3.pdf","- **Relevance Score:** 38/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Defines human capital theory and links education/training to productivity; discusses Saudization policy implications; lacks measurement methods, specific target groups, and comparative analysis; offers limited case illustrations.",""
"The 3rd OECD World Forum on ""Statistics, Knowledge and Policy"" Charting Progress, Building Visions, Improving Life","https://scispace.com/paper/the-3rd-oecd-world-forum-on-statistics-knowledge-and-policy-4w3wn88vzp","2009","","","Dae-Bong Kwon","","https://scispace.com/pdf/the-3rd-oecd-world-forum-on-statistics-knowledge-and-policy-4w3wn88vzp.pdf","- **Relevance Score:** 38/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Provides clear definitions of general and specific human capital and outlines output-, cost-, and income‑based measurement approaches. Lacks focus on military, prisoners, or detailed education‑investment impact, and offers no case studies, historical overview, policy guidance, or comparative analysis.","Composite indicators are inherently complex and often raise more questions in the mind of the public than they answer. The Happy Planet Index (HPI) was designed to be a relatively simple index that nonetheless holds complexity by explicitly addressing the tension between the desire for high quality of life now whilst not undermining future quality of life. The HPI assesses how well nations are faring by comparing their ultimate outcomes (the delivery of happy and long lives for their citizens) with their fundamental inputs (how much of the planet‟s finite resources they use)."
"How to measure human capital: a short review","https://scispace.com/paper/how-to-measure-human-capital-a-short-review-45omwid7h0","2013","Posted Content","Network Intelligence Studies","Bálint Balogh","","","- **Relevance Score:** 37/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Uses comprehensive review of monetary and non‑monetary measurement approaches; mentions education indicators but lacks definitions, target‑group applications, case studies, historical context, policy or comparative analysis.","This paper focuses on the most important estimation approaches of human capital These approaches can be labeled as either monetary or non-monetary methods of estimation The three major monetary methods of human capital are the prospective method, the retrospective method and the integrated approach The income-based approach (prospective method) estimates human capital based on the present value of a person’s future income stream The cost-based approach (retrospective method) is centered on the “production” costs of human capital, trying to determine the costs of producing human capital by adding up the education and schooling costs The integrated approach is a mixture of the prospective and retrospective method On the other side, the non-monetary measures are essentially education-based indicators, such as the literacy rate, the school enrollment rate or the average years of education"
"Human capital theory: A holistic criticism","https://scispace.com/paper/human-capital-theory-a-holistic-criticism-2rp616yxef","2014","Journal Article","Review of Educational Research","Emrullah Tan","10.3102/0034654314532696","","- **Relevance Score:** 37/100
- **Relevance Tag:** Marginally Relevant
- **Reasoning:** Provides a thorough definition and historical overview of human capital theory; discusses methodological critiques implying measurement issues; lacks focus on specific populations, case studies, or education investment analysis; offers limited policy discussion without concrete recommendations.","Human capital theory has had a profound impact on a range of disciplines from economics to education and sociology. The theory has always been the subject of bitter criticisms from the very beginning, but it has comfortably survived and expanded its influence over other research disciplines. Not surprisingly, a considerable number of criticisms have been made as a reaction to this expansion. However, it seems that these criticisms are rather fragmented and disorganized. To bridge this gap and organize them in a systematic way, the present article takes a holistic approach and reviews human capital theory from four comprehensive perspectives focusing on the methodological, empirical, practical, and moral aspects of the theory."
